artist_name,url
groove_riders,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%A3%E0%B8%B9%E0%B9%8A%E0%B8%9F%E0%B9%84%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%AA
gavin_d,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B9%8C%20%E0%B8%94%E0%B8%B9%E0%B8%A7%E0%B8%B2%E0%B8%A5
kong_saharat,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%96%20%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%9B%E0%B8%A3%E0%B8%B5%E0%B8%8A%E0%B8%B2
kratae_rsiam,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%95%20%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B9%8C%20%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1
gun_napat,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%B1%E0%B8%99%20%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%97%E0%B8%A3%20%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B9%83%E0%B8%88%E0%B9%80%E0%B8%AD%E0%B8%B7%E0%B9%89%E0%B8%AD
golf_mike,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%AD%E0%B8%A5%E0%B9%8C%E0%B8%9F-%E0%B9%84%E0%B8%A1%E0%B8%84%E0%B9%8C
ging_muanpair,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%20%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%9E%E0%B8%A3%20%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%B0%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3
keng_tachaya,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%87%20%E0%B8%98%E0%B8%8A%E0%B8%A2%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93
grand_panwarat, https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%20%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%A7%E0%B8%A3%E0%B8%97%20%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%A8%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2
gam_wichayanee,https://www.siamzone.com/music/thailyric/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87-%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A1%20%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%8D%E0%B8%B2%E0%B8%93%E0%B8%B5%20%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99
